"CLDR.Short.Name";"Code";"R.Encoding"
"grinning face";"U+1F600";"<f0><9f><98><80>"
"beaming face with smiling eyes";"U+1F601";"<f0><9f><98><81>"
"face with tears of joy";"U+1F602";"<f0><9f><98><82>"
"rolling on the floor laughing";"U+1F923";"<f0><9f><a4><a3>"
"grinning face with big eyes";"U+1F603";"<f0><9f><98><83>"
"grinning face with smiling eyes";"U+1F604";"<f0><9f><98><84>"
"grinning face with sweat";"U+1F605";"<f0><9f><98><85>"
"grinning squinting face";"U+1F606";"<f0><9f><98><86>"
"winking face";"U+1F609";"<f0><9f><98><89>"
"smiling face with smiling eyes";"U+1F60A";"<f0><9f><98><8a>"
"face savoring food";"U+1F60B";"<f0><9f><98><8b>"
"smiling face with sunglasses";"U+1F60E";"<f0><9f><98><8e>"
"smiling face with heart-eyes";"U+1F60D";"<f0><9f><98><8d>"
"face blowing a kiss";"U+1F618";"<f0><9f><98><98>"
"kissing face";"U+1F617";"<f0><9f><98><97>"
"kissing face with smiling eyes";"U+1F619";"<f0><9f><98><99>"
"kissing face with closed eyes";"U+1F61A";"<f0><9f><98><9a>"
"smiling face";"U+263A";"<f0><82><98><ba>"
"slightly smiling face";"U+1F642";"<f0><9f><99><82>"
"hugging face";"U+1F917";"<f0><9f><a4><97>"
"⊛ star-struck";"U+1F929";"<f0><9f><a4><a9>"
"thinking face";"U+1F914";"<f0><9f><a4><94>"
"⊛ face with raised eyebrow";"U+1F928";"<f0><9f><a4><a8>"
"neutral face";"U+1F610";"<f0><9f><98><90>"
"expressionless face";"U+1F611";"<f0><9f><98><91>"
"face without mouth";"U+1F636";"<f0><9f><98><b6>"
"face with rolling eyes";"U+1F644";"<f0><9f><99><84>"
"smirking face";"U+1F60F";"<f0><9f><98><8f>"
"persevering face";"U+1F623";"<f0><9f><98><a3>"
"sad but relieved face";"U+1F625";"<f0><9f><98><a5>"
"face with open mouth";"U+1F62E";"<f0><9f><98><ae>"
"zipper-mouth face";"U+1F910";"<f0><9f><a4><90>"
"hushed face";"U+1F62F";"<f0><9f><98><af>"
"sleepy face";"U+1F62A";"<f0><9f><98><aa>"
"tired face";"U+1F62B";"<f0><9f><98><ab>"
"sleeping face";"U+1F634";"<f0><9f><98><b4>"
"relieved face";"U+1F60C";"<f0><9f><98><8c>"
"face with tongue";"U+1F61B";"<f0><9f><98><9b>"
"winking face with tongue";"U+1F61C";"<f0><9f><98><9c>"
"squinting face with tongue";"U+1F61D";"<f0><9f><98><9d>"
"drooling face";"U+1F924";"<f0><9f><a4><a4>"
"unamused face";"U+1F612";"<f0><9f><98><92>"
"downcast face with sweat";"U+1F613";"<f0><9f><98><93>"
"pensive face";"U+1F614";"<f0><9f><98><94>"
"confused face";"U+1F615";"<f0><9f><98><95>"
"upside-down face";"U+1F643";"<f0><9f><99><83>"
"money-mouth face";"U+1F911";"<f0><9f><a4><91>"
"astonished face";"U+1F632";"<f0><9f><98><b2>"
"frowning face";"U+2639";"<f0><82><98><b9>"
"slightly frowning face";"U+1F641";"<f0><9f><99><81>"
"confounded face";"U+1F616";"<f0><9f><98><96>"
"disappointed face";"U+1F61E";"<f0><9f><98><9e>"
"worried face";"U+1F61F";"<f0><9f><98><9f>"
"face with steam from nose";"U+1F624";"<f0><9f><98><a4>"
"crying face";"U+1F622";"<f0><9f><98><a2>"
"loudly crying face";"U+1F62D";"<f0><9f><98><ad>"
"frowning face with open mouth";"U+1F626";"<f0><9f><98><a6>"
"anguished face";"U+1F627";"<f0><9f><98><a7>"
"fearful face";"U+1F628";"<f0><9f><98><a8>"
"weary face";"U+1F629";"<f0><9f><98><a9>"
"⊛ exploding head";"U+1F92F";"<f0><9f><a4><af>"
"grimacing face";"U+1F62C";"<f0><9f><98><ac>"
"anxious face with sweat";"U+1F630";"<f0><9f><98><b0>"
"face screaming in fear";"U+1F631";"<f0><9f><98><b1>"
"flushed face";"U+1F633";"<f0><9f><98><b3>"
"⊛ crazy face";"U+1F92A";"<f0><9f><a4><aa>"
"dizzy face";"U+1F635";"<f0><9f><98><b5>"
"pouting face";"U+1F621";"<f0><9f><98><a1>"
"angry face";"U+1F620";"<f0><9f><98><a0>"
"⊛ face with symbols on mouth";"U+1F92C";"<f0><9f><a4><ac>"
"face with medical mask";"U+1F637";"<f0><9f><98><b7>"
"face with thermometer";"U+1F912";"<f0><9f><a4><92>"
"face with head-bandage";"U+1F915";"<f0><9f><a4><95>"
"nauseated face";"U+1F922";"<f0><9f><a4><a2>"
"⊛ face vomiting";"U+1F92E";"<f0><9f><a4><ae>"
"sneezing face";"U+1F927";"<f0><9f><a4><a7>"
"smiling face with halo";"U+1F607";"<f0><9f><98><87>"
"cowboy hat face";"U+1F920";"<f0><9f><a4><a0>"
"clown face";"U+1F921";"<f0><9f><a4><a1>"
"lying face";"U+1F925";"<f0><9f><a4><a5>"
"⊛ shushing face";"U+1F92B";"<f0><9f><a4><ab>"
"⊛ face with hand over mouth";"U+1F92D";"<f0><9f><a4><ad>"
"⊛ face with monocle";"U+1F9D0";"<f0><9f><a7><90>"
"nerd face";"U+1F913";"<f0><9f><a4><93>"
"smiling face with horns";"U+1F608";"<f0><9f><98><88>"
"angry face with horns";"U+1F47F";"<f0><9f><91><bf>"
"ogre";"U+1F479";"<f0><9f><91><b9>"
"goblin";"U+1F47A";"<f0><9f><91><ba>"
"skull";"U+1F480";"<f0><9f><92><80>"
"skull and crossbones";"U+2620";"<f0><82><98><a0>"
"ghost";"U+1F47B";"<f0><9f><91><bb>"
"alien";"U+1F47D";"<f0><9f><91><bd>"
"alien monster";"U+1F47E";"<f0><9f><91><be>"
"robot face";"U+1F916";"<f0><9f><a4><96>"
"pile of poo";"U+1F4A9";"<f0><9f><92><a9>"
"grinning cat face";"U+1F63A";"<f0><9f><98><ba>"
"grinning cat face with smiling eyes";"U+1F638";"<f0><9f><98><b8>"
"cat face with tears of joy";"U+1F639";"<f0><9f><98><b9>"
"smiling cat face with heart-eyes";"U+1F63B";"<f0><9f><98><bb>"
"cat face with wry smile";"U+1F63C";"<f0><9f><98><bc>"
"kissing cat face";"U+1F63D";"<f0><9f><98><bd>"
"weary cat face";"U+1F640";"<f0><9f><99><80>"
"crying cat face";"U+1F63F";"<f0><9f><98><bf>"
"pouting cat face";"U+1F63E";"<f0><9f><98><be>"
"see-no-evil monkey";"U+1F648";"<f0><9f><99><88>"
"hear-no-evil monkey";"U+1F649";"<f0><9f><99><89>"
"speak-no-evil monkey";"U+1F64A";"<f0><9f><99><8a>"
"baby";"U+1F476";"<f0><9f><91><b6>"
"baby: light skin tone";"U+1F476 U+1F3FB";"<f0><9f><91><b6> <f0><9f><8f><bb>"
"baby: medium-light skin tone";"U+1F476 U+1F3FC";"<f0><9f><91><b6> <f0><9f><8f><bc>"
"baby: medium skin tone";"U+1F476 U+1F3FD";"<f0><9f><91><b6> <f0><9f><8f><bd>"
"baby: medium-dark skin tone";"U+1F476 U+1F3FE";"<f0><9f><91><b6> <f0><9f><8f><be>"
"baby: dark skin tone";"U+1F476 U+1F3FF";"<f0><9f><91><b6> <f0><9f><8f><bf>"
"⊛ child";"U+1F9D2";"<f0><9f><a7><92>"
"⊛ child: light skin tone";"U+1F9D2 U+1F3FB";"<f0><9f><a7><92> <f0><9f><8f><bb>"
"⊛ child: medium-light skin tone";"U+1F9D2 U+1F3FC";"<f0><9f><a7><92> <f0><9f><8f><bc>"
"⊛ child: medium skin tone";"U+1F9D2 U+1F3FD";"<f0><9f><a7><92> <f0><9f><8f><bd>"
"⊛ child: medium-dark skin tone";"U+1F9D2 U+1F3FE";"<f0><9f><a7><92> <f0><9f><8f><be>"
"⊛ child: dark skin tone";"U+1F9D2 U+1F3FF";"<f0><9f><a7><92> <f0><9f><8f><bf>"
"boy";"U+1F466";"<f0><9f><91><a6>"
"boy: light skin tone";"U+1F466 U+1F3FB";"<f0><9f><91><a6> <f0><9f><8f><bb>"
"boy: medium-light skin tone";"U+1F466 U+1F3FC";"<f0><9f><91><a6> <f0><9f><8f><bc>"
"boy: medium skin tone";"U+1F466 U+1F3FD";"<f0><9f><91><a6> <f0><9f><8f><bd>"
"boy: medium-dark skin tone";"U+1F466 U+1F3FE";"<f0><9f><91><a6> <f0><9f><8f><be>"
"boy: dark skin tone";"U+1F466 U+1F3FF";"<f0><9f><91><a6> <f0><9f><8f><bf>"
"girl";"U+1F467";"<f0><9f><91><a7>"
"girl: light skin tone";"U+1F467 U+1F3FB";"<f0><9f><91><a7> <f0><9f><8f><bb>"
"girl: medium-light skin tone";"U+1F467 U+1F3FC";"<f0><9f><91><a7> <f0><9f><8f><bc>"
"girl: medium skin tone";"U+1F467 U+1F3FD";"<f0><9f><91><a7> <f0><9f><8f><bd>"
"girl: medium-dark skin tone";"U+1F467 U+1F3FE";"<f0><9f><91><a7> <f0><9f><8f><be>"
"girl: dark skin tone";"U+1F467 U+1F3FF";"<f0><9f><91><a7> <f0><9f><8f><bf>"
"⊛ adult";"U+1F9D1";"<f0><9f><a7><91>"
"⊛ adult: light skin tone";"U+1F9D1 U+1F3FB";"<f0><9f><a7><91> <f0><9f><8f><bb>"
"⊛ adult: medium-light skin tone";"U+1F9D1 U+1F3FC";"<f0><9f><a7><91> <f0><9f><8f><bc>"
"⊛ adult: medium skin tone";"U+1F9D1 U+1F3FD";"<f0><9f><a7><91> <f0><9f><8f><bd>"
"⊛ adult: medium-dark skin tone";"U+1F9D1 U+1F3FE";"<f0><9f><a7><91> <f0><9f><8f><be>"
"⊛ adult: dark skin tone";"U+1F9D1 U+1F3FF";"<f0><9f><a7><91> <f0><9f><8f><bf>"
"man";"U+1F468";"<f0><9f><91><a8>"
"man: light skin tone";"U+1F468 U+1F3FB";"<f0><9f><91><a8> <f0><9f><8f><bb>"
"man: medium-light skin tone";"U+1F468 U+1F3FC";"<f0><9f><91><a8> <f0><9f><8f><bc>"
"man: medium skin tone";"U+1F468 U+1F3FD";"<f0><9f><91><a8> <f0><9f><8f><bd>"
"man: medium-dark skin tone";"U+1F468 U+1F3FE";"<f0><9f><91><a8> <f0><9f><8f><be>"
"man: dark skin tone";"U+1F468 U+1F3FF";"<f0><9f><91><a8> <f0><9f><8f><bf>"
"woman";"U+1F469";"<f0><9f><91><a9>"
"woman: light skin tone";"U+1F469 U+1F3FB";"<f0><9f><91><a9> <f0><9f><8f><bb>"
"woman: medium-light skin tone";"U+1F469 U+1F3FC";"<f0><9f><91><a9> <f0><9f><8f><bc>"
"woman: medium skin tone";"U+1F469 U+1F3FD";"<f0><9f><91><a9> <f0><9f><8f><bd>"
"woman: medium-dark skin tone";"U+1F469 U+1F3FE";"<f0><9f><91><a9> <f0><9f><8f><be>"
"woman: dark skin tone";"U+1F469 U+1F3FF";"<f0><9f><91><a9> <f0><9f><8f><bf>"
"⊛ older adult";"U+1F9D3";"<f0><9f><a7><93>"
"⊛ older adult: light skin tone";"U+1F9D3 U+1F3FB";"<f0><9f><a7><93> <f0><9f><8f><bb>"
"⊛ older adult: medium-light skin tone";"U+1F9D3 U+1F3FC";"<f0><9f><a7><93> <f0><9f><8f><bc>"
"⊛ older adult: medium skin tone";"U+1F9D3 U+1F3FD";"<f0><9f><a7><93> <f0><9f><8f><bd>"
"⊛ older adult: medium-dark skin tone";"U+1F9D3 U+1F3FE";"<f0><9f><a7><93> <f0><9f><8f><be>"
"⊛ older adult: dark skin tone";"U+1F9D3 U+1F3FF";"<f0><9f><a7><93> <f0><9f><8f><bf>"
"old man";"U+1F474";"<f0><9f><91><b4>"
"old man: light skin tone";"U+1F474 U+1F3FB";"<f0><9f><91><b4> <f0><9f><8f><bb>"
"old man: medium-light skin tone";"U+1F474 U+1F3FC";"<f0><9f><91><b4> <f0><9f><8f><bc>"
"old man: medium skin tone";"U+1F474 U+1F3FD";"<f0><9f><91><b4> <f0><9f><8f><bd>"
"old man: medium-dark skin tone";"U+1F474 U+1F3FE";"<f0><9f><91><b4> <f0><9f><8f><be>"
"old man: dark skin tone";"U+1F474 U+1F3FF";"<f0><9f><91><b4> <f0><9f><8f><bf>"
"old woman";"U+1F475";"<f0><9f><91><b5>"
"old woman: light skin tone";"U+1F475 U+1F3FB";"<f0><9f><91><b5> <f0><9f><8f><bb>"
"old woman: medium-light skin tone";"U+1F475 U+1F3FC";"<f0><9f><91><b5> <f0><9f><8f><bc>"
"old woman: medium skin tone";"U+1F475 U+1F3FD";"<f0><9f><91><b5> <f0><9f><8f><bd>"
"old woman: medium-dark skin tone";"U+1F475 U+1F3FE";"<f0><9f><91><b5> <f0><9f><8f><be>"
"old woman: dark skin tone";"U+1F475 U+1F3FF";"<f0><9f><91><b5> <f0><9f><8f><bf>"
"man health worker";"U+1F468 U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man health worker: light skin tone";"U+1F468 U+1F3FB U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man health worker: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man health worker: medium skin tone";"U+1F468 U+1F3FD U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man health worker: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man health worker: dark skin tone";"U+1F468 U+1F3FF U+200D U+2695 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker";"U+1F469 U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker: light skin tone";"U+1F469 U+1F3FB U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker: medium skin tone";"U+1F469 U+1F3FD U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"woman health worker: dark skin tone";"U+1F469 U+1F3FF U+200D U+2695 U+FE0F";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><9a><95> <f0><8f><b8><8f>"
"man student";"U+1F468 U+200D U+1F393";"<f0><9f><91><a8> <f0><82><80><8d> <f0><9f><8e><93>"
"man student: light skin tone";"U+1F468 U+1F3FB U+200D U+1F393";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8e><93>"
"man student: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F393";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8e><93>"
"man student: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F393";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8e><93>"
"man student: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F393";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8e><93>"
"man student: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F393";"<f0><9f><91><a8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student";"U+1F469 U+200D U+1F393";"<f0><9f><91><a9> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student: light skin tone";"U+1F469 U+1F3FB U+200D U+1F393";"<f0><9f><91><a9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F393";"<f0><9f><91><a9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F393";"<f0><9f><91><a9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F393";"<f0><9f><91><a9> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8e><93>"
"woman student: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F393";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8e><93>"
"man teacher";"U+1F468 U+200D U+1F3EB";"<f0><9f><91><a8> <f0><82><80><8d> <f0><9f><8f><ab>"
"man teacher: light skin tone";"U+1F468 U+1F3FB U+200D U+1F3EB";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8f><ab>"
"man teacher: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F3EB";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8f><ab>"
"man teacher: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F3EB";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8f><ab>"
"man teacher: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F3EB";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8f><ab>"
"man teacher: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F3EB";"<f0><9f><91><a8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher";"U+1F469 U+200D U+1F3EB";"<f0><9f><91><a9> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher: light skin tone";"U+1F469 U+1F3FB U+200D U+1F3EB";"<f0><9f><91><a9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F3EB";"<f0><9f><91><a9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F3EB";"<f0><9f><91><a9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F3EB";"<f0><9f><91><a9> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8f><ab>"
"woman teacher: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3EB";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8f><ab>"
"man judge";"U+1F468 U+200D U+2696 U+FE0F";"<f0><9f><91><a8> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: light skin tone";"U+1F468 U+1F3FB U+200D U+2696 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2696 U+FE0F";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
